focal_method,test_prefix,docstring
"public static boolean isAtTopRightCorner(
            final double x, final double y, final double left,
            final double top, final double right, final double bottom,
            final double threshold) {
        // fix values in case that corners are reversed
        final double top2 = Math.max(top, bottom);
        final double right2 = Math.max(left, right);

        return x > (right2 - threshold) && y > (top2 - threshold);
    }","@Test(timeout = 4000)
  public void test122()  throws Throwable  {
      HomogeneousPoint2D homogeneousPoint2D0 = (HomogeneousPoint2D)Rectangle.getClosestPoint(1606.58503, 3974.6644, 3974.6644, (-407.374413558168), 1606.58503, 3974.6644);
      
      double double0 = Rectangle.getDistance((Point2D) homogeneousPoint2D0, 296.190947854435, 0.0, 446.67959, 583.50171237173);
      assertEquals(CoordinatesType.HOMOGENEOUS_COORDINATES, homogeneousPoint2D0.getType());
  }","Indicates if provided point coordinates are located at top-right corner of rectangle defined by provided top-left and bottom-right corners up to a certain threshold. A positive threshold moves top-right corner towards rectangle interior, a negative threshold moves top-right corner towards rectangle exterior.@param x x coordinate of point to be checked. @param y y coordinate of point to be checked. @param left left coordinate of rectangle. @param top top coordinate of rectangle. @param right right coordinate of rectangle. @param bottom bottom coordinate of rectangle. @param threshold threshold to use as a margin to determine whether point lies at top-right corner or not. @return true if point is at top-right corner, false otherwise.fix values in case that corners are reversed"
"public ProfileEntry checkPartAvailability(int partId, long time) {
		Map.Entry<Long, PartProfileEntry> entry = avail.getPrecEntry(time, true);
		if (entry != null) {
			return new Entry(time, entry.getValue().getAvailRanges(partId));
		}
		else {
			return new Entry(time);
		}
	}","@Test(timeout = 4000)
  public void test10()  throws Throwable  {
      ResourcePartition[] resourcePartitionArray0 = new ResourcePartition[0];
      PartProfile partProfile0 = new PartProfile(resourcePartitionArray0);
      // Undeclared exception!
      try { 
        partProfile0.checkPartAvailability((-1), (long) (-1));
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""me.marcosassuncao.servsim.profile.PartProfile"", e);
      }
  }",Returns a profile entry with the available resources at a given partition at a given time. It does not scan the profile to check if the resources will be available until the completion of a given job. It just returns an entry with the resources available at the given time. @param partId the partition from which the ranges will be obtained @param time the time from which availability is checked @return a {@link ProfileEntry} with the start time equals to the current time and the ranges available at the current time.
"public double getArea() {
        final Point3D origin = mVertices.get(0);
        final double inhomX0 = origin.getInhomX();
        final double inhomY0 = origin.getInhomY();
        final double inhomZ0 = origin.getInhomZ();

        final Iterator<Point3D> iterator = mVertices.iterator();

        // because there are at least 3
        // vertices
        Point3D prevPoint = iterator.next();
        Point3D curPoint;
        double avgX = 0.0;
        double avgY = 0.0;
        double avgZ = 0.0;
        while (iterator.hasNext()) {
            curPoint = iterator.next();

            final double inhomX1 = prevPoint.getInhomX();
            final double inhomY1 = prevPoint.getInhomY();
            final double inhomZ1 = prevPoint.getInhomZ();

            final double inhomX2 = curPoint.getInhomX();
            final double inhomY2 = curPoint.getInhomY();
            final double inhomZ2 = curPoint.getInhomZ();

            // compute cross product of ab = (prevPoint - origin) and
            // ac = (curPoint - origin)
            final double abX = inhomX1 - inhomX0;
            final double abY = inhomY1 - inhomY0;
            final double abZ = inhomZ1 - inhomZ0;

            final double acX = inhomX2 - inhomX0;
            final double acY = inhomY2 - inhomY0;
            final double acZ = inhomZ2 - inhomZ0;

            final double crossX = abY * acZ - abZ * acY;
            final double crossY = abZ * acX - abX * acZ;
            final double crossZ = abX * acY - abY * acX;

            avgX += crossX;
            avgY += crossY;
            avgZ += crossZ;

            prevPoint = curPoint;
        }

        return 0.5 * Math.sqrt(avgX * avgX + avgY * avgY + avgZ * avgZ);
    }","@Test(timeout = 4000)
  public void test13()  throws Throwable  {
      HomogeneousPoint3D homogeneousPoint3D0 = new HomogeneousPoint3D();
      Triangle3D triangle3D0 = new Triangle3D(homogeneousPoint3D0, homogeneousPoint3D0, homogeneousPoint3D0);
      List<Point3D> list0 = triangle3D0.getVertices();
      Polygon3D polygon3D0 = new Polygon3D(list0);
      double double0 = polygon3D0.getArea();
      assertEquals(Double.NaN, double0, 0.01);
  }","Returns signed area of this polygon. The sign of the area determines whether vertices of the polygon are provided in clockwise (negative sign) or clockwise (positive sign) order.@return Signed area of this polygon.because there are at least 3
vertices"
"public void nNearest(final int jpt, final int[] nn, final double[] dn, final int n) {
        if (n < 0) {
            throw new IllegalArgumentException(""no neighbours requested"");
        }
        if (n > mNpts - 1) {
            throw new IllegalArgumentException(""too many neighbours requested"");
        }
        if (nn.length != n || dn.length != n) {
            throw new IllegalArgumentException(""invalid result array lengths"");
        }

        int i;
        int k;
        int ntask;
        int kp;
        final int[] task = new int[N_TASKS];
        double d;
        for (i = 0; i < n; i++) {
            dn[i] = BIG;
        }
        kp = mBoxes[locate(jpt)].mMom;
        while (mBoxes[kp].mPtHi - mBoxes[kp].mPtLo < n) {
            kp = mBoxes[kp].mMom;
        }
        for (i = mBoxes[kp].mPtLo; i <= mBoxes[kp].mPtHi; i++) {
            if (jpt == mPtIndx[i]) {
                continue;
            }
            d = distance(mPtIndx[i], jpt);
            if (d < dn[0]) {
                dn[0] = d;
                nn[0] = mPtIndx[i];
                if (n > 1) {
                    siftDown(dn, nn, n);
                }
            }
        }
        task[1] = 0;
        ntask = 1;
        while (ntask != 0) {
            k = task[ntask--];
            if (k == kp) {
                continue;
            }
            if (mBoxes[k].getDistance(mPts[jpt]) < dn[0]) {
                if (mBoxes[k].mDau1 != 0) {
                    task[++ntask] = mBoxes[k].mDau1;
                    task[++ntask] = mBoxes[k].mDau2;
                } else {
                    for (i = mBoxes[k].mPtLo; i <= mBoxes[k].mPtHi; i++) {
                        d = distance(mPtIndx[i], jpt);
                        if (d < dn[0]) {
                            dn[0] = d;
                            nn[0] = mPtIndx[i];
                            if (n > 1) {
                                siftDown(dn, nn, n);
                            }
                        }
                    }
                }
            }
        }
    }","@Test(timeout = 4000)
  public void test36()  throws Throwable  {
      LinkedList<Point2D> linkedList0 = new LinkedList<Point2D>();
      InhomogeneousPoint2D inhomogeneousPoint2D0 = new InhomogeneousPoint2D();
      linkedList0.add((Point2D) inhomogeneousPoint2D0);
      linkedList0.add((Point2D) inhomogeneousPoint2D0);
      linkedList0.addLast(inhomogeneousPoint2D0);
      double[] doubleArray0 = new double[2];
      Point2D[] point2DArray0 = new Point2D[2];
      KDTree2D kDTree2D0 = new KDTree2D(linkedList0);
      kDTree2D0.nNearest((Point2D) inhomogeneousPoint2D0, point2DArray0, doubleArray0, 2);
      assertArrayEquals(new double[] {1.7976931348623157E308, 1.7976931348623157E308}, doubleArray0, 0.01);
  }",Gets n nearest point indices to a given one in the input collection.@param jpt index of point to search nearest ones for. @param nn array containing resulting indices of nearest points up to the number of found points. @param dn array containing resulting distances to nearest points up to the number of found points. @param n number of nearest points to find. @throws IllegalArgumentException if number of nearest points is invalid or if length of arrays containing results are not valid either.
"public void add(E object) {
        while (objectCache.size() >= maxMemSize) {
            logger.warn(String.format(""Store is full (%d). Waiting to add object."", maxMemSize));
            try {
                Thread.sleep(1000);
            } catch (InterruptedException e) {
                logger.error(""Error while waiting to add object!"", e);
            }
        }
        synchronized (objectCache) {
            objectCache.add(object);
            if (logger.isDebugEnabled()) {
                logger.debug(String.format(""Object added. Store fill status: %d/%d"", objectCache.size(), maxMemSize));
            }
        }
    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      ObjectStore<Object> objectStore0 = null;
      try {
        objectStore0 = new ObjectStore<Object>((-2004L));
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // org/apache/logging/log4j/LogManager
         //
         verifyException(""net.dschinghiskahn.objectstore.ObjectStore"", e);
      }
  }",Adds the object to the store. @param object The object to add to the store.
"public String toHexString() {
        if (mValue == null) {
            return null;
        }

        final int l = mValue.length;
        final char[] out = new char[l * 2 + 2];
        out[0] = '0';
        out[1] = 'x';
        for (int i = 0, j = 2; i < l; i++) {
            out[j++] = HEX_DIGITS[(0xF0 & mValue[i]) >>> 4];
            out[j++] = HEX_DIGITS[0x0F & mValue[i]];
        }
        return new String(out);
    }","@Test(timeout = 4000)
  public void test36()  throws Throwable  {
      BeaconIdentifier beaconIdentifier0 = BeaconIdentifier.parse(""00000000000000000000000000000000"", 12);
      // Undeclared exception!
      try { 
        beaconIdentifier0.toString();
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
      
      } catch(ArrayIndexOutOfBoundsException e) {
         //
         // 2
         //
         verifyException(""com.irurueta.navigation.indoor.BeaconIdentifier"", e);
      }
  }",Represents the value as a hexadecimal String. The String is prefixed with <code>0x<code>. For example 0x0034ab.@return value as hexadecimal String.
"public static synchronized ProcessEnvironment getInstance() {
		if (env == null) {
			env = new ProcessEnvironment(System.getenv());
		}
		return env;
	}","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      ProcessEnvironment processEnvironment0 = ProcessEnvironment.getInstance();
      assertNull(processEnvironment0);
  }",Get main instance @return Instance
"private static boolean checkDate(Calendar cal, Calendar other) {
		return checkDate(cal, other.get(Calendar.DATE), other.get(Calendar.MONTH));
	}","@Test(timeout = 4000)
  public void test0()  throws Throwable  {
      MockDate mockDate0 = new MockDate();
      Date date0 = NorwegianDateUtil.addWorkingDaysToDate(mockDate0, 1);
      assertEquals(""Thu May 01 20:21:21 GMT 2014"", date0.toString());
  }","Check if the given dates match on day and month.@param cal The Calendar representing the first date. @param other The Calendar representing the second date. @return true if they match, false otherwise."
"public static String getSignatureFromInternalName(final String internalName) {
		final int arrayDimension = countOccurrences(internalName, ""["");
		String finalTypeName = internalName.replace(""["", """");
		if (!isPrimitiveSignature(finalTypeName)) {
			finalTypeName = ""L"" + finalTypeName.replace(""."", ""/"") + "";"";
		}
		String prefix = """";
		for (int i = 0; i < arrayDimension; ++i) {
			prefix += ""["";
		}
		return prefix + finalTypeName;
	}","@Test(timeout = 4000)
  public void test32()  throws Throwable  {
      String string0 = Reflector.getSignatureFromInternalName(""O"");
      assertEquals(""O"", string0);
  }",Get the signature from of the fully qualified type name (internal name) provided @param internalName Internal Name of the type @return The signature from of the fully qualified type name (internal name) provided
"public void closestPoint(final Point2D point, final Point2D result) {
        // iterate over all vertices and compute their distance
        Iterator<Point2D> iterator = mVertices.iterator();
        Point2D prevPoint = iterator.next();
        // to increase accuracy
        prevPoint.normalize();

        Point2D curPoint;
        double bestDist = Double.MAX_VALUE;
        double dist;
        boolean found = false;
        final Line2D line = new Line2D();
        final Point2D pointInLine = Point2D.create();

        while (iterator.hasNext()) {
            curPoint = iterator.next();
            // to increase accuracy
            curPoint.normalize();

            // check if point lies in the segment of the boundary of this polygon
            if (point.isBetween(curPoint, prevPoint)) {
                result.setCoordinates(point);
                return;
            }

            line.setParametersFromPairOfPoints(curPoint, prevPoint);
            // to increase accuracy
            line.normalize();

            // find closest point to line
            line.closestPoint(point, pointInLine);
            // to increase accuracy
            pointInLine.normalize();

            if (pointInLine.isBetween(curPoint, prevPoint)) {
                // closest point lies within segment of polygon boundary, so we
                // keep distance and point
                dist = point.distanceTo(pointInLine);
                if (dist < bestDist) {
                    // a better point has been found
                    bestDist = dist;
                    result.setCoordinates(pointInLine);
                    found = true;
                }
            }

            prevPoint = curPoint;
        }

        // try last vertex with first
        // check if point lies in the segment of the boundary of this polygon
        final Point2D first = mVertices.get(0);
        if (point.isBetween(prevPoint, first)) {
            result.setCoordinates(point);
            return;
        }

        line.setParametersFromPairOfPoints(prevPoint, first);
        // to increase accuracy
        line.normalize();

        // find closest point to line
        line.closestPoint(point, pointInLine);
        // to increase accuracy
        pointInLine.normalize();

        if (pointInLine.isBetween(prevPoint, first)) {
            // closest point lies within segment of polygon boundary, so we
            // keep distance
            dist = point.distanceTo(pointInLine);
            if (dist < bestDist) {
                // a better point has been found
                bestDist = dist;
                result.setCoordinates(pointInLine);
                found = true;
            }
        }


        if (!found) {
            // no closest point was found on a segment belonging to polygon
            // boundary so we search for the closest vertex
            iterator = mVertices.iterator();
            while (iterator.hasNext()) {
                curPoint = iterator.next();
                dist = point.distanceTo(curPoint);
                if (dist < bestDist) {
                    // a better vertex has been found
                    bestDist = dist;
                    result.setCoordinates(curPoint);
                }
            }
        }
    }","@Test(timeout = 4000)
  public void test14()  throws Throwable  {
      HomogeneousPoint2D homogeneousPoint2D0 = new HomogeneousPoint2D();
      Triangle2D triangle2D0 = new Triangle2D(homogeneousPoint2D0, homogeneousPoint2D0, homogeneousPoint2D0);
      List<Point2D> list0 = triangle2D0.getVertices();
      Polygon2D polygon2D0 = new Polygon2D(list0);
      // Undeclared exception!
      try { 
        polygon2D0.getClosestPoint(homogeneousPoint2D0);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // com/irurueta/geometry/Line2D
         //
         verifyException(""com.irurueta.geometry.Polygon2D"", e);
      }
  }","Computes the closes point to provided point that is locus of this polygon (i.e. lies on a border of this polygon).@param point Point to be checked. @param result Instance where the closest point will be stored.iterate over all vertices and compute their distance
to increase accuracy
try last vertex with first
check if point lies in the segment of the boundary of this polygon
to increase accuracy
find closest point to line
to increase accuracy"
"public static String getQuotedCommaDelimitedString( Collection<String> elements )
    {
        if ( elements != null && elements.size() > 0 )
        {
            final StringBuffer buffer = new StringBuffer();        
        
            for ( String element : elements )
            {
                buffer.append( ""'"" ).append( element.toString() ).append( ""', "" );
            }
            
            return buffer.substring( 0, buffer.length() - "", "".length() );
        }
        
        return null;
    }","@Test(timeout = 4000)
  public void test37()  throws Throwable  {
      String[] stringArray0 = new String[3];
      LinkedList<Object> linkedList0 = new LinkedList<Object>();
      // Undeclared exception!
      try { 
        TextUtils.join((List<Object>) linkedList0, ""null&*xCXe[@*z[rY82Hv&*xCXe[@*z[rY82Hv&*xCXe[@*z[rY82HvZ6`r&*xCXe[@*z[rY82H"", (Object) stringArray0[0]);
        fail(""Expecting exception: NoClassDefFoundError"");
      
      } catch(NoClassDefFoundError e) {
         //
         // org/apache/commons/lang3/StringUtils
         //
         verifyException(""org.hisp.dhis.commons.util.TextUtils"", e);
      }
  }","Transforms a collection of strings into a comma delimited string, where each component get single-quoted. @param elements the collection of Integers @return a comma delimited String."
"public static synchronized void registerUtility(Object utility, Class iface){
        IOC.registerUtility(utility, iface, ""."");

    }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      Class<Object> class0 = Object.class;
      // Undeclared exception!
      try { 
        IOC.registerUtility((Object) class0, (Class) class0);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""com.axiastudio.zoefx.core.IOC"", e);
      }
  }",Registers the unnamed utility for the given interface.@param utility The utility object to register @param iface The interface implemented by the utility
"public CMAWebhookTransformation setContentType(String contentType) {
    this.contentType = contentType;
    return this;
  }","@Test(timeout = 4000)
  public void test3()  throws Throwable  {
      CMAWebhookTransformation cMAWebhookTransformation0 = new CMAWebhookTransformation();
      CMAWebhookTransformation cMAWebhookTransformation1 = cMAWebhookTransformation0.setContentType(""QCA3dVCx"");
      assertNull(cMAWebhookTransformation1.getContentType());
  }",Sets a content type to this webhook transformation.@param contentType the contentType to set @return this webhook for chaining
,"@Test(timeout = 4000)
  public void test04()  throws Throwable  {
      StrokeChooserDialog.DashInfo strokeChooserDialog_DashInfo0 = new StrokeChooserDialog.DashInfo((float[]) null, 0.0F);
      // Undeclared exception!
      try { 
        strokeChooserDialog_DashInfo0.equals((Object) null);
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""de.chrlembeck.util.swing.components.StrokeChooserDialog$DashInfo"", e);
      }
  }",
"@Override public String getNodeType() {
    if (data instanceof CMALink) {
      final CMAType linkType = ((CMALink) data).getSystem().getLinkType();
      final String block = inline ? ""inline"" : ""block"";

      if (linkType == CMAType.Asset) {
        return ""embedded-asset-"" + block;
      } else if (linkType == CMAType.Entry) {
        return ""embedded-entry-"" + block;
      }
    }
    return super.getNodeType();
  }","@Test(timeout = 4000)
  public void test1()  throws Throwable  {
      CMAType cMAType0 = CMAType.Asset;
      CMALink cMALink0 = new CMALink(cMAType0);
      CMARichEmbeddedLink cMARichEmbeddedLink0 = new CMARichEmbeddedLink(cMALink0, false);
      String string0 = cMARichEmbeddedLink0.getNodeType();
      assertEquals(""embedded-asset-inline"", string0);
  }",@return the internal representation of this node type.
"public static EventObjsMeetConditionID newEventObjsMeetConditionID(final String uuidStr) {
		ID id = dataClayIDs.get(uuidStr);
		if (id == null) {
			// For more information about locking design, see Pool
			synchronized (dataClayIDs) { // ensure only one is created per object
				id = dataClayIDs.get(uuidStr);
				if (id == null) {
					id = new EventObjsMeetConditionID(uuidStr);
					dataClayIDs.put(uuidStr, id);
				}
			}
		}
		return (EventObjsMeetConditionID) id;
	}","@Test(timeout = 4000)
  public void test11()  throws Throwable  {
      // Undeclared exception!
      try { 
        DataClayIDFactory.newEventObjsMeetConditionID("" the hint : "");
        fail(""Expecting exception: NullPointerException"");
      
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""java.util.concurrent.ConcurrentHashMap"", e);
      }
  }",Create a new EventObjsMeetConditionID. @param uuidStr UUID string representation. @return EventObjsMeetConditionID.
